"id","race_id","qualifier_id","name","year","age","athlete_id","final_time","cycle_time","run_time","swim_time","high_temp","low_temp","high_humidity","low_humidity","starting_elevation","gross_elevation_gain"
357112,5209,20398,"Ironman Coeur d Alene",2008,25,1020,36386,0,0,36386,71.00,53.00,94.00,41.00,2188.00,6517.00
147533,5114,89837,"Ironman Wisconsin",2006,25,1020,40628,21866,14023,4070,59.00,53.00,100.00,77.00,863.00,1916.00
18130,5007,7504,"Ironman Florida",2004,18,1020,38383,19312,14191,3941,73.00,59.00,51.00,31.00,19.00,1335.00
252663,5084,48917,"Ironman World Championships",2011,30,1020,39491,20793,14504,3709,84.00,75.00,74.00,56.00,49.00,4865.00
2018,5001,7504,"Ironman Florida",2012,30,1020,32683,17193,11489,213600,78.00,59.00,100.00,74.00,11.00,1335.00
9467,5003,7504,"Ironman Florida",2007,25,1020,34189,17820,12299,3697,74.00,51.00,98.00,54.00,16.00,1335.00
357813,5210,20398,"Ironman Coeur d Alene",2007,25,1020,36950,19864,12791,3916,68.00,46.00,71.00,37.00,2188.00,6517.00
9232,5008,7504,"Ironman Florida",2008,25,1020,34628,17964,12655,3659,73.00,49.00,79.00,38.00,15.00,1335.00
101021,5281,56781,"Ironman Texas",2011,32,1020,34871,18063,12874,215460,91.00,71.00,87.00,48.00,160.00,2822.00
347331,5208,20398,"Ironman Coeur d Alene",2010,30,1020,35976,18891,13145,215100,77.00,51.00,82.00,43.00,2188.00,6517.00
357793,5210,20398,"Ironman Coeur d Alene",2007,40,1045,38965,20685,14123,3682,68.00,46.00,71.00,37.00,2188.00,6517.00
100793,5280,56781,"Ironman Texas",2012,45,1045,35527,18396,12880,3770,87.00,59.00,100.00,42.00,160.00,2822.00
18152,5007,7504,"Ironman Florida",2004,35,1045,39131,19860,15408,205560,73.00,59.00,51.00,31.00,19.00,1335.00
27473,5013,67724,"Ironman Arizona",2009,40,1045,34772,18129,12399,3641,76.00,48.00,44.00,14.00,1160.00,2119.00
36308,5015,67724,"Ironman Arizona",2008,40,1045,36952,20212,12673,211020,94.00,63.00,23.00,4.00,1160.00,2119.00
101023,5281,56781,"Ironman Texas",2011,46,1045,35406,18143,13126,3746,91.00,71.00,87.00,48.00,160.00,2822.00
246114,5087,48917,"Ironman World Championships",2008,40,1045,39551,22006,12946,3872,84.00,73.00,73.00,50.00,49.00,4865.00
252974,5083,48917,"Ironman World Championships",2010,45,1045,37081,19132,13514,3864,82.00,71.00,78.00,54.00,49.00,4865.00
