"race_id","name","year","qualifier_id","date","location","race_type","high_humidity","low_humidity","peak_wind_speed","starting_elevation","gross_elevation_gain","high_temp","low_temp"
5012,"Ironman 70.3 Asia Pacific Championships",2013,73662,"1/20/2013","Auckland, New Zealand","Ironman 70.3",100.00,60.00,24.00,20.00,2364.00,71.00,62.00
5068,"Ironman St. Croix 70.3",2013,56293,"5/5/2013","St. Croix, USA","Ironman 70.3",97.00,70.00,16.00,20.00,3140.00,86.00,76.00
5230,"Ironman 70.3 Eagleman",2013,93659,"6/9/2013","Cambridge, MD, USA","Ironman 70.3",100.00,54.00,8.00,20.00,490.00,80.00,60.00
5247,"Ironman 70.3 Hawaii",2013,9682,"6/1/13","Kohala Coast, HI, USA","Ironman 70.3",90.00,58.00,16.10,40.00,2928.00,84.90,66.90
5293,"Ironman 70.3 California",2013,34041,"3/30/13","Oceanside, CA, USA","Ironman 70.3",87.00,59.00,10.30,66.00,2416.00,71.10,57.00
5297,"Ironman 70.3 Texas",2013,72238,"4/7/13","Galveston, TX, USA","Ironman 70.3",93.00,69.00,13.80,0.00,338.00,75.90,66.00
5300,"Ironman 70.3 Puerto Rico",2013,71337,"3/17/13","San Juan, Puerto Rico","Ironman 70.3",85.00,47.00,19.70,0.00,1379.00,84.00,73.00
5306,"Ironman 70.3 New Orleans",2013,66835,"4/21/13","New Orleans, LA, USA","Ironman 70.3",77.00,38.00,0.00,0.00,427.00,65.10,57.90
5314,"Ironman 70.3 Florida",2013,34695,"5/19/13","Haines City, FL, USA","Ironman 70.3",87.00,36.00,12.80,162.00,1673.00,91.40,68.00
5316,"Ironman 70.3 St. George",2013,68574,"5/4/13","St. George, UT, USA","Ironman 70.3",15.00,10.00,18.30,2761.00,2238.00,86.00,48.20
5318,"Ironman 70.3 Busselton",2013,96581,"5/11/13","Busselton, Australia","Ironman 70.3",76.00,36.00,16.10,13.00,482.00,66.00,43.50
