"id","race_id","qualifier_id","name","year","age","athlete_id","final_time","cycle_time","run_time","swim_time","high_temp","low_temp","high_humidity","low_humidity","starting_elevation","gross_elevation_gain"
2014,5001,7504,"Ironman Florida",2012,25,1013,32298,16914,11335,3651,78.00,59.00,100.00,74.00,11.00,1335.00
9232,5008,7504,"Ironman Florida",2008,25,1020,34628,17964,12655,3659,73.00,49.00,79.00,38.00,15.00,1335.00
2018,5001,7504,"Ironman Florida",2012,30,1020,32683,17193,11489,213600,78.00,59.00,100.00,74.00,11.00,1335.00
9467,5003,7504,"Ironman Florida",2007,25,1020,34189,17820,12299,3697,74.00,51.00,98.00,54.00,16.00,1335.00
18130,5007,7504,"Ironman Florida",2004,18,1020,38383,19312,14191,3941,73.00,59.00,51.00,31.00,19.00,1335.00
2020,5001,7504,"Ironman Florida",2012,30,1021,32695,16498,11921,3871,78.00,59.00,100.00,74.00,11.00,1335.00
2023,5001,7504,"Ironman Florida",2012,30,1024,32716,16408,11909,3909,78.00,59.00,100.00,74.00,11.00,1335.00
2024,5001,7504,"Ironman Florida",2012,35,1025,32916,17069,11527,3884,78.00,59.00,100.00,74.00,11.00,1335.00
2025,5001,7504,"Ironman Florida",2012,35,1027,33125,17432,11677,3639,78.00,59.00,100.00,74.00,11.00,1335.00
4491,5002,7504,"Ironman Florida",2010,25,1028,35478,18235,12496,3761,60.00,42.00,79.00,34.00,13.00,1335.00
2029,5001,7504,"Ironman Florida",2012,25,1028,33026,17289,11432,3841,78.00,59.00,100.00,74.00,11.00,1335.00
2028,5001,7504,"Ironman Florida",2012,25,1029,33044,17303,11460,3863,78.00,59.00,100.00,74.00,11.00,1335.00
2030,5001,7504,"Ironman Florida",2012,45,1030,33157,17386,11371,3957,78.00,59.00,100.00,74.00,11.00,1335.00
2032,5001,7504,"Ironman Florida",2012,40,1031,33181,17018,11643,3946,78.00,59.00,100.00,74.00,11.00,1335.00
2033,5001,7504,"Ironman Florida",2012,35,1033,33529,17171,12184,3611,78.00,59.00,100.00,74.00,11.00,1335.00
2034,5001,7504,"Ironman Florida",2012,35,1034,33532,17041,12973,187140,78.00,59.00,100.00,74.00,11.00,1335.00
2039,5001,7504,"Ironman Florida",2012,30,1035,33601,17169,11880,4110,78.00,59.00,100.00,74.00,11.00,1335.00
2036,5001,7504,"Ironman Florida",2012,40,1036,33511,17374,12200,208740,78.00,59.00,100.00,74.00,11.00,1335.00
2037,5001,7504,"Ironman Florida",2012,25,1038,33376,17413,11830,3636,78.00,59.00,100.00,74.00,11.00,1335.00
2038,5001,7504,"Ironman Florida",2012,40,1039,33594,16980,12523,3630,78.00,59.00,100.00,74.00,11.00,1335.00
2041,5001,7504,"Ironman Florida",2012,40,1040,33624,16957,12593,3646,78.00,59.00,100.00,74.00,11.00,1335.00
2040,5001,7504,"Ironman Florida",2012,40,1041,33632,17301,12062,3845,78.00,59.00,100.00,74.00,11.00,1335.00
2042,5001,7504,"Ironman Florida",2012,40,1043,33703,17317,12403,211500,78.00,59.00,100.00,74.00,11.00,1335.00
2049,5001,7504,"Ironman Florida",2012,45,1044,33769,17686,11989,3621,78.00,59.00,100.00,74.00,11.00,1335.00
2046,5001,7504,"Ironman Florida",2012,45,1045,33675,17209,12357,215820,78.00,59.00,100.00,74.00,11.00,1335.00
18152,5007,7504,"Ironman Florida",2004,35,1045,39131,19860,15408,205560,73.00,59.00,51.00,31.00,19.00,1335.00
17795,5006,7504,"Ironman Florida",2005,40,1045,38047,19354,15007,195660,77.00,71.00,88.00,61.00,18.00,1335.00
18662,5009,7504,"Ironman Florida",2002,35,1045,38572,19455,14953,3719,75.00,57.00,100.00,78.00,21.00,1335.00
9227,5008,7504,"Ironman Florida",2008,40,1045,33840,17530,12503,201960,73.00,49.00,79.00,38.00,15.00,1335.00
2043,5001,7504,"Ironman Florida",2012,35,1046,33793,16823,12871,3677,78.00,59.00,100.00,74.00,11.00,1335.00
2045,5001,7504,"Ironman Florida",2012,40,1047,33896,17398,12420,3637,78.00,59.00,100.00,74.00,11.00,1335.00
9486,5003,7504,"Ironman Florida",2007,35,1047,38486,17963,16609,213780,74.00,51.00,98.00,54.00,16.00,1335.00
17772,5006,7504,"Ironman Florida",2005,34,1047,35324,18855,12586,208920,77.00,71.00,88.00,61.00,18.00,1335.00
2047,5001,7504,"Ironman Florida",2012,30,1048,33695,17537,11493,4290,78.00,59.00,100.00,74.00,11.00,1335.00
2050,5001,7504,"Ironman Florida",2012,30,1050,33915,18116,11849,214260,78.00,59.00,100.00,74.00,11.00,1335.00
